expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,telemetry_name,telemetry_value,timestamp,vehicle_id,vehicle_number
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,Steering_Angle,0.2,2025-04-25T00:31:49.142Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,accx_can,0.253,2025-04-25T00:31:49.099Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,accy_can,-0.001,2025-04-25T00:31:49.099Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,ath,100.01,2025-04-25T00:31:49.099Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.099Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.099Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.099Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,Steering_Angle,0.1,2025-04-25T00:31:49.099Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,accx_can,0.254,2025-04-25T00:31:49.054Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,accy_can,-0.01,2025-04-25T00:31:49.054Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,ath,99.99,2025-04-25T00:31:49.054Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.054Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.054Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.149Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.054Z,GR86-002-2,2
